                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2202,                0.96392,                 1.4131,                0.88666,                0.75054,                0.81439,                 0.5755,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     52,                 1.2208,                0.95189,                 1.4069,                0.88286,                0.75881,                0.81242,                0.57629,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2224,                0.96075,                 1.4175,                 0.8777,                0.75901,                0.81092,                0.57344,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     54,                 1.2199,                0.96139,                 1.4172,                0.88487,                0.76256,                0.81619,                0.57845,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2144,                0.93258,                 1.4048,                 0.8927,                0.74814,                0.81294,                0.58028,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     56,                 1.2175,                0.94721,                   1.41,                0.89785,                0.75156,                0.81201,                0.57752,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2112,                0.94265,                 1.4091,                0.87957,                0.75951,                0.80932,                0.57611,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     58,                 1.2177,                0.95071,                 1.4094,                0.88972,                0.76086,                0.81797,                0.58038,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2147,                0.93773,                 1.4065,                0.88437,                0.75885,                0.81374,                0.58024,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     60,                 1.2021,                0.92607,                 1.4001,                 0.8847,                0.75987,                0.81279,                 0.5814,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1995,                0.92442,                 1.3875,                0.88737,                 0.7616,                0.81568,                0.58189,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     62,                 1.1938,                0.92376,                 1.3884,                0.89232,                0.75969,                 0.8116,                 0.5821,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1912,                0.91219,                 1.3951,                 0.8845,                0.76862,                0.81818,                0.58769,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     64,                  1.196,                 0.9233,                 1.3958,                0.89381,                0.76472,                0.81763,                0.58761,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1941,                0.91563,                 1.3928,                0.88385,                0.76797,                0.81871,                0.58825,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     66,                 1.1859,                0.91355,                 1.3898,                0.88999,                 0.7608,                0.81638,                0.58737,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1982,                0.92149,                 1.3895,                0.88895,                0.76357,                0.81824,                0.58714,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     68,                 1.2024,                0.91984,                 1.3963,                0.89155,                0.77259,                0.82549,                0.59411,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1785,                0.90485,                 1.3808,                 0.8832,                0.77147,                 0.8233,                0.59653,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     70,                 1.1954,                  0.914,                 1.3934,                0.88951,                0.76912,                0.82277,                 0.5956,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1815,                0.89651,                 1.3795,                0.88904,                0.76915,                 0.8229,                0.59571,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     72,                 1.1777,                0.89399,                 1.3777,                0.88866,                0.77128,                0.82126,                 0.5949,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1774,                0.89648,                 1.3804,                0.89361,                 0.7705,                0.82323,                0.59796,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     74,                 1.1821,                 0.8854,                 1.3703,                0.89124,                0.76925,                0.81856,                0.59316,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     75,                   1.17,                0.88573,                 1.3673,                0.89503,                0.76679,                0.82006,                0.59715,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     76,                 1.1722,                0.88185,                 1.3667,                0.89423,                 0.7635,                0.81692,                0.59492,                    nan,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1632,                0.87761,                 1.3618,                0.89521,                0.76795,                0.82034,                0.59807,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     78,                 1.1644,                0.87818,                 1.3629,                0.89064,                0.77052,                0.81863,                0.59862,                    nan,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1714,                0.88114,                 1.3689,                0.89631,                0.76953,                0.81993,                 0.5999,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     80,                 1.1613,                0.87168,                 1.3606,                0.89429,                0.77457,                0.81988,                0.59861,                    nan,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1565,                0.87322,                 1.3578,                0.89692,                0.76886,                0.81961,                0.59806,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     82,                 1.1677,                0.86549,                 1.3586,                0.88988,                0.77783,                 0.8234,                0.60214,                    nan,                    nan,                    nan,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1663,                0.87252,                 1.3637,                0.89511,                 0.7762,                0.82186,                0.60162,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     84,                 1.1584,                0.86845,                 1.3565,                0.89876,                0.76941,                 0.8215,                 0.6019,                    nan,                    nan,                    nan,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1457,                 0.8582,                 1.3478,                0.89256,                0.77558,                0.82395,                0.60391,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     86,                 1.1468,                0.86306,                 1.3493,                0.88784,                0.77786,                0.82004,                0.60214,                    nan,                    nan,                    nan,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1563,                0.86293,                  1.356,                0.89835,                0.77375,                0.82307,                0.60526,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     88,                  1.143,                0.85804,                 1.3477,                0.89328,                0.77711,                 0.8243,                0.60629,                    nan,                    nan,                    nan,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1419,                0.85358,                 1.3442,                0.89309,                0.77762,                0.82203,                0.60381,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     90,                 1.1453,                0.85523,                  1.351,                0.89944,                0.77432,                0.82337,                0.60602,                    nan,                    nan,                    nan,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1409,                0.84979,                 1.3429,                0.89363,                0.77839,                 0.8227,                0.60626,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     92,                 1.1264,                0.83444,                 1.3317,                0.89833,                0.77499,                0.82385,                0.60792,                    nan,                    nan,                    nan,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1311,                0.84649,                 1.3382,                0.89689,                0.77471,                0.82408,                0.60863,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     94,                 1.1317,                0.83862,                  1.335,                0.89727,                0.77678,                0.82616,                0.60951,                    nan,                    nan,                    nan,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1377,                0.84527,                 1.3396,                0.89204,                0.77896,                0.82459,                0.61058,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     96,                   1.13,                0.83937,                 1.3355,                0.89162,                0.78085,                0.82545,                0.61119,                    nan,                    nan,                    nan,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1363,                 0.8394,                 1.3411,                0.89789,                0.77651,                0.82851,                0.61355,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     98,                 1.1333,                0.81794,                 1.3316,                0.89507,                0.78315,                0.82901,                0.61493,                    nan,                    nan,                    nan,              0.0051985,              0.0051985,              0.0051985
                     99,                  1.123,                0.83775,                 1.3237,                0.89875,                0.77969,                0.82538,                0.61359,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    100,                 1.1272,                0.83014,                 1.3304,                0.89716,                0.78004,                0.82363,                0.61249,                    nan,                    nan,                    nan,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1307,                0.82625,                 1.3298,                0.89925,                0.77632,                0.82335,                0.61229,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    102,                 1.1211,                0.82268,                 1.3248,                 0.8984,                0.77561,                0.82304,                0.61295,                    nan,                    nan,                    nan,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.119,                0.82775,                 1.3248,                0.89616,                0.78227,                0.82653,                0.61524,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                    104,                 1.1188,                0.81588,                 1.3262,                0.89742,                0.77938,                  0.828,                0.61646,                    nan,                    nan,                    nan,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1238,                0.82727,                 1.3242,                0.90069,                0.77685,                 0.8266,                0.61627,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                    106,                 1.1199,                0.81534,                 1.3299,                0.90399,                0.77603,                0.82721,                0.61739,                    nan,                    nan,                    nan,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1186,                0.81602,                 1.3235,                0.90572,                0.77612,                0.82753,                0.61786,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                    108,                 1.1193,                 0.8238,                 1.3277,                0.90307,                0.77777,                0.82817,                 0.6176,                    nan,                    nan,                    nan,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1145,                0.81097,                 1.3222,                0.90161,                 0.7774,                0.82561,                0.61758,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                    110,                 1.1113,                0.81072,                 1.3148,                0.89728,                0.78299,                0.82628,                0.61769,                    nan,                    nan,                    nan,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1094,                0.80082,                 1.3107,                0.89796,                0.77956,                0.82566,                0.61712,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                    112,                 1.1067,                0.80913,                 1.3184,                0.89951,                0.77981,                0.82628,                0.61824,                    nan,                    nan,                    nan,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1095,                0.79909,                 1.3141,                0.90002,                0.77995,                0.82738,                0.61971,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                    114,                 1.0977,                0.79617,                 1.3066,                0.89716,                0.78171,                 0.8271,                0.61969,                    nan,                    nan,                    nan,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1089,                0.79722,                 1.3167,                0.90264,                0.77731,                0.82637,                  0.621,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                    116,                 1.0944,                0.79295,                  1.307,                0.90058,                0.78177,                0.82877,                0.62284,                    nan,                    nan,                    nan,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0933,                 0.7922,                 1.3075,                0.90556,                0.77857,                 0.8287,                0.62292,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                    118,                 1.0975,                0.79251,                 1.3094,                0.90056,                0.78315,                0.82873,                0.62248,                    nan,                    nan,                    nan,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0985,                0.79141,                  1.309,                 0.9037,                0.78198,                0.82924,                0.62287,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                    120,                 1.1043,                0.79962,                 1.3089,                0.90187,                0.78409,                 0.8295,                0.62335,                    nan,                    nan,                    nan,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0928,                0.79026,                 1.3042,                0.90107,                0.78533,                0.82979,                0.62355,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                    122,                 1.0948,                0.78382,                  1.305,                0.90538,                0.78157,                0.82999,                0.62444,                    nan,                    nan,                    nan,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0841,                0.79303,                 1.3018,                0.90626,                0.78184,                   0.83,                0.62494,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                    124,                 1.0854,                0.78288,                 1.2985,                0.90433,                0.78244,                0.82998,                0.62495,                    nan,                    nan,                    nan,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0893,                0.78458,                 1.3003,                0.91106,                0.77792,                0.83015,                0.62529,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                    126,                 1.0842,                0.78115,                 1.2968,                0.90791,                0.78152,                0.83031,                0.62608,                    nan,                    nan,                    nan,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0841,                0.77936,                 1.2953,                0.90923,                 0.7804,                0.83052,                0.62694,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                    128,                 1.0847,                0.77969,                 1.2896,                0.90746,                0.78257,                0.82956,                0.62664,                    nan,                    nan,                    nan,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0752,                0.76462,                 1.2814,                0.90723,                0.78257,                0.82944,                0.62691,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
